,Grupo,Pokemon
150,23,Delphox
151,15,Deoxys
152,15,Deoxys-Attack
153,15,Deoxys-Defense
154,15,Deoxys-Speed
155,34,Dewgong
156,22,Dewott
157,18,Dialga
158,2,Diancie
159,4,Diggersby
160,33,Diglett
161,48,Ditto
162,7,Dodrio
163,7,Doduo
164,0,Donphan
165,11,Doublade
166,31,Dragalge
167,50,Dragonair
168,18,Dragonite
169,49,Drapion
170,50,Dratini
171,53,Drifblim
172,53,Drifloon
173,33,Drilbur
174,15,Drowzee
175,36,Druddigon
176,46,Ducklett
177,33,Dugtrio
178,0,Dunsparce
179,35,Duosion
180,33,Durant
181,39,Dusclops
182,39,Dusknoir
183,53,Duskull
184,26,Dustox
185,33,Dwebble
186,14,Eelektrik
187,14,Eelektross
188,16,Eevee
189,9,Ekans
190,28,Electabuzz
191,28,Electivire
192,45,Electrike
193,14,Electrode
194,28,Elekid
195,35,Elgyem
196,44,Emboar
197,14,Emolga
198,22,Empoleon
199,20,Entei
200,11,Escavalier
201,16,Espeon
202,35,Espurr
203,33,Excadrill
204,6,Exeggcute
205,6,Exeggutor
206,24,Exploud
207,7,Farfetch'd
208,7,Fearow
209,37,Feebas
210,23,Fennekin
211,51,Feraligatr
212,27,Ferroseed
213,27,Ferrothorn
214,37,Finneon
215,28,Flaaffy
216,42,Flabebe
217,16,Flareon
218,29,Fletchinder
219,29,Fletchling
220,22,Floatzel
221,42,Floette
222,42,Floette-Eternal
223,42,Florges
224,26,Flygon
225,6,Foongus
226,27,Forretress
227,50,Fraxure
228,37,Frillish
229,22,Froakie
230,22,Frogadier
231,39,Froslass
232,16,Furfrou
233,1,Furret
234,50,Gabite
235,15,Gallade
236,14,Galvantula
237,9,Garbodor
238,35,Gardevoir
239,53,Gastly
240,34,Gastrodon
241,14,Genesect
242,39,Gengar
243,27,Geodude
244,50,Gible
245,27,Gigalith
246,38,Girafarig
247,18,Giratina
248,18,Giratina-Origin
249,16,Glaceon
250,43,Glalie
251,25,Glameow
252,33,Gligar
253,33,Gliscor
254,6,Gloom
255,4,Gogoat
256,7,Golbat
257,37,Goldeen
258,51,Golduck
259,27,Golem
260,27,Golett
261,27,Golurk
262,31,Goodra
263,31,Goomy
264,37,Gorebyss
265,35,Gothita
266,35,Gothitelle
267,35,Gothorita
268,23,Gourgeist
269,48,Gourgeist-Large
270,48,Gourgeist-Small
271,48,Gourgeist-Super
272,24,Granbull
273,27,Graveler
274,22,Greninja
275,9,Grimer
276,32,Grotle
277,47,Grovyle
278,20,Growlithe
279,15,Grumpig
280,9,Gulpin
281,12,Gurdurr
282,43,Gyarados
283,54,Happiny
284,12,Hariyama
285,53,Haunter
286,41,Hawlucha
287,50,Haxorus
288,9,Heatmor
289,14,Heliolisk
290,14,Helioptile
291,33,Heracross
292,52,Herdier
293,56,Hippopotas
294,56,Hippowdon
295,12,Hitmonchan
296,12,Hitmonlee
297,12,Hitmontop
298,7,Honchkrow
299,11,Honedge
300,38,Ho-Oh
301,15,Hoopa
302,15,Hoopa-Unbound
303,7,Hoothoot
304,6,Hoppip
305,37,Horsea
306,52,Houndoom
307,52,Houndour
308,37,Huntail
309,36,Hydreigon
310,15,Hypno
311,54,Igglybuff
312,26,Illumise
313,25,Inkay
314,40,Ivysaur
315,37,Jellicent
316,54,Jigglypuff
317,15,Jirachi
318,16,Jolteon
319,14,Joltik
320,6,Jumpluff
321,15,Jynx
322,5,Kabuto
323,5,Kabutops
324,15,Kadabra
325,13,Kakuna
326,24,Kangaskhan
327,11,Karrablast
328,1,Kecleon
329,4,Keldeo
330,37,Kingdra
331,5,Kingler
332,35,Kirlia
333,14,Klang
334,2,Klefki
335,14,Klink
336,14,Klinklang
337,9,Koffing
338,5,Krabby
339,3,Kricketot
340,11,Kricketune
341,41,Krokorok
342,41,Krookodile
343,43,Kyogre
344,18,Kyurem
345,18,Kyurem-Black
346,18,Kyurem-White
347,0,Lairon
348,23,Lampent
349,4,Landorus
350,4,Landorus-Therian
351,37,Lanturn
352,43,Lapras
353,20,Larvesta
354,0,Larvitar
355,38,Latias
356,38,Latios
357,16,Leafeon
358,11,Leavanny
359,26,Ledian
360,26,Ledyba
361,24,Lickilicky
362,24,Lickitung
363,25,Liepard
364,32,Lileep
365,6,Lilligant
366,52,Lillipup
367,16,Linoone
368,44,Litleo
369,23,Litwick
370,51,Lombre
371,16,Lopunny
372,6,Lotad
373,24,Loudred
374,12,Lucario
375,51,Ludicolo
376,38,Lugia
377,37,Lumineon
378,2,Lunatone
379,37,Luvdisc
380,45,Luxio
381,45,Luxray
382,12,Machamp
383,12,Machoke
384,12,Machop
385,19,Magby
386,56,Magcargo
387,48,Magikarp
388,19,Magmar
389,19,Magmortar
390,14,Magnemite
391,14,Magneton
392,14,Magnezone
393,12,Makuhita
394,25,Malamar
395,0,Mamoswine
396,37,Manaphy
397,29,Mandibuzz
398,45,Manectric
399,24,Mankey
400,37,Mantine
401,37,Mantyke
402,6,Maractus
403,14,Mareep
404,51,Marill
405,24,Marowak
406,51,Marshtomp
407,26,Masquerain
408,24,Mawile
409,12,Medicham
410,12,Meditite
411,40,Meganium
412,15,Meloetta
413,35,Meowstic-F
414,35,Meowstic-M
415,25,Meowth
416,27,Metagross
417,27,Metang
418,13,Metapod
419,15,Mew
420,15,Mewtwo
421,12,Mienfoo
422,12,Mienshao
423,52,Mightyena
424,37,Milotic
425,24,Miltank
426,35,Mime Jr.
427,16,Minccino
428,28,Minun
429,53,Misdreavus
430,53,Mismagius
431,29,Moltres
432,19,Monferno
433,26,Mothim
434,15,Mr. Mime
435,5,Mudkip
436,9,Muk
437,24,Munchlax
438,35,Munna
439,7,Murkrow
440,35,Musharna
441,38,Natu
442,24,Nidoking
443,24,Nidoqueen
444,49,Nidoran-F
445,49,Nidoran-M
446,49,Nidorina
447,49,Nidorino
448,11,Nincada
449,23,Ninetales
450,11,Ninjask
451,7,Noctowl
452,29,Noibat
453,29,Noivern
454,27,Nosepass
455,56,Numel
456,47,Nuzleaf
457,37,Octillery
458,6,Oddish
459,5,Omanyte
460,5,Omastar
461,0,Onix
462,22,Oshawott
463,28,Pachirisu
464,18,Palkia
465,31,Palpitoad
466,41,Pancham
467,41,Pangoro
468,22,Panpour
469,4,Pansage
470,44,Pansear
471,6,Paras
472,6,Parasect
473,16,Patrat
474,25,Pawniard
475,46,Pelipper
476,25,Persian
477,6,Petilil
478,0,Phanpy
479,53,Phantump
480,37,Phione
481,28,Pichu
482,7,Pidgeot
483,7,Pidgeotto
484,7,Pidgey
485,29,Pidove
486,44,Pignite
487,28,Pikachu
488,0,Piloswine
489,27,Pineco
490,33,Pinsir
491,37,Piplup
492,28,Plusle
493,51,Politoed
494,37,Poliwag
495,51,Poliwhirl
496,51,Poliwrath
497,20,Ponyta
498,52,Poochyena
499,2,Porygon
500,2,Porygon2
501,2,Porygon-Z
502,24,Primeape
503,22,Prinplup
504,27,Probopass
505,51,Psyduck
506,23,Pumpkaboo
507,48,Pumpkaboo-Large
508,17,Pumpkaboo-Small
509,17,Pumpkaboo-Super
510,0,Pupitar
511,25,Purrloin
512,25,Purugly
513,44,Pyroar
514,34,Quagsire
515,20,Quilava
516,4,Quilladin
517,21,Qwilfish
518,28,Raichu
519,45,Raikou
520,35,Ralts
521,24,Rampardos
522,20,Rapidash
523,52,Raticate
524,52,Rattata
525,27,Regice
526,27,Regigigas
527,27,Regirock
528,27,Registeel
529,5,Relicanth
530,37,Remoraid
531,18,Reshiram
532,15,Reuniclus
533,24,Rhydon
534,0,Rhyhorn
535,24,Rhyperior
536,12,Riolu
537,27,Roggenrola
538,6,Roselia
539,6,Roserade
540,10,Rotom
541,10,Rotom-Fan
542,10,Rotom-Frost
543,10,Rotom-Heat
544,10,Rotom-Mow
545,10,Rotom-Wash
546,29,Rufflet
547,1,Sableye
548,50,Salamence
549,22,Samurott
550,52,Sandile
551,33,Sandshrew
552,33,Sandslash
553,12,Sawk
554,6,Sawsbuck
555,3,Scatterbug
556,47,Sceptile
557,11,Scizor
558,30,Scolipede
559,41,Scrafty
560,41,Scraggy
561,11,Scyther
562,37,Seadra
563,37,Seaking
564,34,Sealeo
565,6,Seedot
566,34,Seel
567,31,Seismitoad
568,1,Sentret
569,40,Serperior
570,40,Servine
571,9,Seviper
572,11,Sewaddle
573,43,Sharpedo
574,6,Shaymin
575,6,Shaymin-Sky
576,11,Shedinja
577,50,Shelgon
578,21,Shellder
579,34,Shellos
580,11,Shelmet
581,0,Shieldon
582,47,Shiftry
583,45,Shinx
584,6,Shroomish
585,33,Shuckle
586,53,Shuppet
587,38,Sigilyph
588,13,Silcoon
589,22,Simipour
590,4,Simisage
591,44,Simisear
592,7,Skarmory
593,4,Skiddo
594,6,Skiploom
595,16,Skitty
596,49,Skorupi
597,31,Skrelp
598,25,Skuntank
599,24,Slaking
600,24,Slakoth
601,31,Sliggoo
602,15,Slowbro
603,15,Slowking
604,38,Slowpoke
605,56,Slugma
606,42,Slurpuff
607,48,Smeargle
608,54,Smoochum
609,1,Sneasel
610,40,Snivy
611,24,Snorlax
612,43,Snorunt
613,6,Snover
614,24,Snubbull
615,35,Solosis
616,2,Solrock
617,7,Spearow
618,3,Spewpa
619,34,Spheal
620,30,Spinarak
621,54,Spinda
622,53,Spiritomb
623,35,Spoink
624,42,Spritzee
625,51,Squirtle
626,38,Stantler
627,7,Staraptor
628,7,Staravia
629,7,Starly
630,2,Starmie
631,37,Staryu
632,0,Steelix
633,0,Steelix-Mega
634,52,Stoutland
635,5,Stunfisk
636,25,Stunky
637,27,Sudowoodo
638,43,Suicune
639,6,Sunflora
640,6,Sunkern
641,37,Surskit
642,7,Swablu
643,11,Swadloon
644,9,Swalot
645,51,Swampert
646,46,Swanna
647,7,Swellow
648,0,Swinub
649,42,Swirlix
650,38,Swoobat
651,16,Sylveon
652,7,Taillow
653,29,Talonflame
654,40,Tangela
655,40,Tangrowth
656,43,Tauros
657,24,Teddiursa
658,21,Tentacool
659,21,Tentacruel
660,44,Tepig
661,4,Terrakion
662,12,Throh
663,41,Thundurus
664,41,Thundurus-Therian
665,12,Timburr
666,5,Tirtouga
667,54,Togekiss
668,54,Togepi
669,54,Togetic
670,19,Torchic
671,56,Torkoal
672,41,Tornadus
673,41,Tornadus-Therian
674,32,Torterra
675,51,Totodile
676,41,Toxicroak
677,29,Tranquill
678,11,Trapinch
679,47,Treecko
680,53,Trevenant
681,47,Tropius
682,9,Trubbish
683,32,Turtwig
684,31,Tympole
685,48,Tynamo
686,19,Typhlosion
687,24,Tyranitar
688,36,Tyrantrum
689,12,Tyrogue
690,36,Tyrunt
691,16,Umbreon
692,29,Unfezant
693,55,Unown
694,24,Ursaring
695,35,Uxie
696,55,Vanillish
697,55,Vanillite
698,55,Vanilluxe
699,16,Vaporeon
700,30,Venipede
701,26,Venomoth
702,30,Venonat
703,40,Venusaur
704,26,Vespiquen
705,26,Vibrava
706,23,Victini
707,32,Victreebel
708,24,Vigoroth
709,6,Vileplume
710,4,Virizion
711,26,Vivillon
712,26,Volbeat
713,44,Volcanion
714,20,Volcarona
715,14,Voltorb
716,29,Vullaby
717,23,Vulpix
718,5,Wailmer
719,5,Wailord
720,34,Walrein
721,51,Wartortle
722,1,Watchog
723,1,Weavile
724,13,Weedle
725,40,Weepinbell
726,9,Weezing
727,6,Whimsicott
728,30,Whirlipede
729,5,Whiscash
730,24,Whismur
731,54,Wigglytuff
732,46,Wingull
733,48,Wobbuffet
734,38,Woobat
735,34,Wooper
736,6,Wormadam
737,11,Wormadam-Sandy
738,11,Wormadam-Trash
739,13,Wurmple
740,48,Wynaut
741,38,Xatu
742,53,Yamask
743,26,Yanma
744,26,Yanmega
745,29,Yveltal
746,1,Zangoose
747,7,Zapdos
748,14,Zebstrika
749,18,Zekrom
750,16,Zigzagoon
751,25,Zoroark
752,25,Zorua
753,7,Zubat
754,36,Zweilous
755,18,Zygarde
